Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Nikola Mirotic,25.7,CHI,Big,161,11,-6.3%,82,+7.0%,23,-7.8%,33,-4.7%,20,-6.0%,8,-25.0%,2,-15.0%,2,-17.3%
Greg Monroe,26.4,MIL,Big,140,43,-1.1%,57,+1.7%,50,-0.4%,50,+1.8%,54,+0.4%,59,+5.2%,55,+0.4%,63,+2.0%
Markieff Morris,27.2,WAS,Big,361,76,+3.9%,81,+6.1%,25,-7.2%,67,+4.7%,43,-1.3%,52,+1.4%,73,+5.0%,74,+4.3%
Dejounte Murray,20.1,SAS,Combo,132,52,+0.0%,23,-4.3%,68,+4.7%,13,-9.5%,47,-0.7%,26,-14.4%,72,+4.0%,48,-0.6%
Victor Oladipo,24.5,OKC,Wing,179,88,+6.6%,15,-5.7%,85,+11.8%,98,+27.8%,99,+20.0%,4,-40.0%,93,+10.6%,67,+2.5%
Kelly Olynyk,25.5,BOS,Big,310,59,+1.2%,76,+5.5%,48,-1.1%,35,-4.3%,33,-2.7%,23,-14.9%,68,+3.1%,47,-0.8%
Kelly Oubre,20.9,WAS,Wing,145,15,-5.2%,24,-4.2%,15,-9.7%,56,+3.2%,33,-2.7%,74,+10.8%,7,-10.3%,23,-6.0%
Zaza Pachulia,32.7,GSW,Big,198,63,+1.7%,11,-7.0%,29,-6.3%,55,+2.9%,37,-1.9%,82,+15.1%,82,+7.0%,86,+7.8%
Tony Parker,34.5,SAS,Point,211,72,+3.7%,27,-3.8%,51,-0.2%,50,+1.8%,53,+0.3%,95,+24.7%,89,+9.5%,99,+15.4%
Patrick Patterson,27.6,TOR,Big,181,22,-4.6%,35,-2.0%,57,+1.3%,5,-17.3%,11,-8.8%,19,-16.9%,77,+5.6%,32,-3.4%
