Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Ryan Bowen,31.9,NOH,Forward,600,36,-1.3%,22,-2.6%,67,+1.1%,57,+0.7%,64,+1.7%,18,-1.5%,79,+2.4%,62,+0.9%
Earl Boykins,31.4,CHA,Point,535,26,-1.9%,55,+0.3%,28,-1.5%,73,+2.4%,57,+0.9%,26,-1.1%,52,-0.1%,41,-1.2%
Elton Brand,28.6,LAC,Big,270,68,+0.9%,5,-5.6%,62,+0.7%,92,+5.7%,93,+6.4%,59,+0.2%,37,-1.1%,45,-0.9%
Corey Brewer,21.7,MIN,Wing,1757,20,-2.5%,73,+1.9%,62,+0.7%,79,+3.1%,80,+3.8%,11,-2.0%,9,-3.7%,7,-5.7%
Ronnie Brewer,22.6,UTA,Wing,2078,83,+2.1%,100,+8.2%,43,-0.5%,42,-0.6%,37,-1.1%,8,-2.2%,5,-4.8%,3,-7.1%
Primoz Brezec,28.1,CHA,Big,264,33,-1.5%,67,+1.2%,35,-1.1%,92,+5.7%,84,+4.6%,11,-2.1%,9,-3.7%,7,-5.7%
Aaron Brooks,22.8,HOU,Point,520,47,-0.5%,56,+0.3%,8,-3.6%,41,-0.7%,16,-4.3%,70,+0.7%,85,+3.3%,84,+4.0%
Andre Brown,26.5,MEM,Big,227,45,-0.6%,7,-5.1%,65,+1.0%,23,-2.8%,33,-1.8%,58,+0.2%,97,+6.7%,94,+6.8%
Devin Brown,28.8,CLE,Wing,1728,37,-1.2%,76,+2.3%,78,+1.8%,9,-4.9%,23,-3.1%,62,+0.3%,60,+0.5%,61,+0.8%
Kwame Brown,25.6,LAL,Big,488,6,-4.8%,70,+1.5%,51,+0.1%,72,+2.2%,69,+2.3%,13,-1.9%,24,-2.0%,16,-3.8%
