Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Desmond Bane,22.4,MEM,Wing,1469,56,+0.2%,10,-5.1%,88,+5.1%,12,-6.7%,81,+2.6%,51,+0.4%,80,+2.3%,75,+1.8%
Theo Maledon,19.4,OKC,Combo,1742,6,-4.7%,13,-4.4%,12,-5.1%,5,-10.4%,5,-6.6%,25,-4.7%,26,-1.9%,22,-2.5%
Xavier Tillman,21.8,MEM,Big,1040,61,+0.6%,30,-2.1%,74,+2.6%,65,+1.7%,78,+2.3%,65,+2.1%,68,+1.1%,72,+1.4%
Saben Lee,21.4,DET,Point,752,80,+2.1%,46,-0.5%,55,+0.6%,72,+2.8%,62,+1.1%,93,+8.1%,67,+1.1%,84,+2.8%
Tre Jones,20.8,SAS,Point,161,1,-7.0%,87,+4.1%,1,-15.7%,16,-5.8%,0,-11.9%,74,+3.5%,0,-15.4%,0,-11.3%
Jordan Nwora,22.1,MIL,Wing,182,37,-1.3%,5,-7.4%,3,-9.5%,99,+15.3%,46,-0.1%,78,+4.1%,47,-0.3%,59,+0.4%
Nico Mannion,19.6,GSW,Point,265,4,-5.6%,70,+2.0%,8,-6.8%,15,-6.0%,5,-6.4%,42,-0.8%,17,-3.4%,15,-3.3%
Isaiah Joe,21.3,PHI,Wing,274,8,-4.1%,38,-1.3%,63,+1.2%,24,-4.1%,36,-1.1%,1,-21.4%,36,-1.2%,5,-6.3%
Skylar Mays,23.2,ATL,Combo,174,38,-1.2%,81,+3.3%,10,-5.8%,2,-11.5%,3,-7.6%,12,-7.8%,57,+0.3%,32,-1.6%
Kenyon Martin Jr.,19.8,HOU,Wing,979,51,-0.1%,52,+0.2%,24,-3.1%,72,+2.9%,36,-1.0%,25,-4.5%,70,+1.4%,54,-0.0%
Reggie Perry,20.6,BKN,Big,142,7,-4.2%,1,-12.3%,52,+0.3%,91,+7.2%,77,+2.3%,15,-6.7%,40,-1.0%,25,-2.3%
Paul Reed,21.4,PHI,Big,105,2,-6.4%,91,+5.0%,0,-16.3%,18,-5.5%,1,-11.2%,0,-25.2%,18,-3.0%,2,-8.2%
Jalen Harris,22.2,TOR,Combo,158,59,+0.5%,77,+2.8%,93,+6.3%,16,-5.8%,88,+3.7%,91,+7.2%,22,-2.5%,44,-0.8%
Sam Merrill,24.5,MIL,Combo,144,0,-9.9%,0,-14.0%,2,-9.9%,14,-6.2%,3,-8.5%,14,-7.0%,7,-5.9%,5,-6.1%
Jae'Sean Tate,25.0,HOU,Forward,2011,74,+1.5%,76,+2.7%,34,-1.6%,83,+4.9%,59,+0.8%,81,+4.6%,42,-0.8%,61,+0.5%
